Region,Month,Confirmed_tm,Deaths_t,Recovered_t,Confirmed,Deaths,Recovered,Countries
East Asia & Pacific,1,9870,213,222,9870,213,222,"Indonesia, China, Philippines"
East Asia & Pacific,2,79816,2844,39499,69946,2631,39277,"Indonesia, China, Philippines"
East Asia & Pacific,3,99164,3676,78439,19348,832,38940,"Indonesia, China, Philippines"
East Asia & Pacific,4,150834,6762,99141,51670,3086,20702,"Indonesia, China, Philippines"
East Asia & Pacific,5,200769,8428,144693,49935,1666,45552,"Indonesia, China, Philippines"
East Asia & Pacific,6,263374,10089,190392,62605,1661,45699,"Indonesia, China, Philippines"
East Asia & Pacific,7,398284,13118,266258,134910,3029,75866,"Indonesia, China, Philippines"
Europe & Central Asia,1,18,0,0,18,0,0,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,2,1505,31,88,1487,31,88,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,3,476600,31106,66988,475095,31075,66900,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,4,1476254,138325,526115,999654,107219,459127,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,5,2143228,178755,1074430,666974,40430,548315,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,6,2673896,197274,1529423,530668,18519,454993,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Europe & Central Asia,7,3252623,210479,1985099,578727,13205,455676,"UK, Spain,Italy, Turkey, France,Germany, Russia"
Latin America & Caribbean,1,0,0,0,0,0,0,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,2,8,0,0,8,0,0,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,3,18949,508,1163,18941,508,1163,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,4,217740,11361,74791,198791,10853,73628,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,5,1042764,51418,440554,825024,40057,365763,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,6,2580079,116281,1530511,1537315,64863,1089957,"Brazil, Mexico,  Peru, Chile"
Latin America & Caribbean,7,4698727,194237,3329181,2118648,67017,1798670,"Brazil, Mexico,  Peru, Chile"
Middle East & North Africa,1,4,0,0,4,0,0,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,2,733,43,131,729,43,131,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,3,58222,3145,16058,57489,3102,15927,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,4,188829,7763,101586,130607,4618,85528,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,5,451703,11394,290135,262874,3631,188549,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,6,859213,20367,609226,407510,8973,319091,"	Iran, Saudi Arabia, Iraq, Egypt"
Middle East & North Africa,7,1300667,33260,1030083,441454,12893,420857,"	Iran, Saudi Arabia, Iraq, Egypt"
North America,1,11,0,0,11,0,0,"US, Canada"
North America,2,44,1,13,33,1,13,"US, Canada"
North America,3,197251,5706,8616,197207,5705,8603,"US, Canada"
North America,4,1127124,67566,175371,929873,61860,166755,"US, Canada"
North America,5,1891603,112738,493971,764479,45172,318600,"US, Canada"
North America,6,2742511,136082,789751,850908,23344,295780,"US, Canada"
North America,7,4612692,161029,1516499,1870181,24947,726748,"US, Canada"
South Asia,1,3,0,0,3,0,0,"	India, Pakistan, Bangladesh"
South Asia,2,10,0,5,7,0,5,"	India, Pakistan, Bangladesh"
South Asia,3,3910,73,278,3900,73,273,"	India, Pakistan, Bangladesh"
South Asia,4,64010,1811,14395,60100,1738,14117,"	India, Pakistan, Bangladesh"
South Asia,5,330448,7881,130524,266438,6070,116129,"	India, Pakistan, Bangladesh"
South Asia,6,994000,24437,529366,663552,16556,398842,"	India, Pakistan, Bangladesh"
South Asia,7,2209760,46075,1479147,1215760,21638,949781,"	India, Pakistan, Bangladesh"
Sub-Saharan Africa,1,0,0,0,0,0,0,"	South Africa, Nigeria"
Sub-Saharan Africa,2,1,0,0,1,0,0,"	South Africa, Nigeria"
Sub-Saharan Africa,3,3004,54,170,3003,54,170,"	South Africa, Nigeria"
Sub-Saharan Africa,4,20618,521,6751,17614,467,6581,"	South Africa, Nigeria"
Sub-Saharan Africa,5,92990,2190,39857,72372,1669,33106,"	South Africa, Nigeria"
Sub-Saharan Africa,6,284967,5635,143133,191977,3445,103276,"	South Africa, Nigeria"
Sub-Saharan Africa,7,722651,12425,454903,437684,6790,311770,"	South Africa, Nigeria"
